distribution,branch,q,density,acceptance,effective_density
accepted_beta_recoil,case_I_forward,0.615,0.48609115981612677,0.0617414360834291,0.06757136405314872
accepted_beta_recoil,case_I_forward,0.6175,0.4861963966158604,0.06271912280741897,0.06865622931600224
accepted_beta_recoil,case_I_forward,0.62,0.4863013850636027,0.06370945978172436,0.06975537300199941
accepted_beta_recoil,case_I_forward,0.6225,0.4864061277283783,0.06471255803122686,0.07086892438207863
accepted_beta_recoil,case_I_forward,0.625,0.4865106271520189,0.06572852861653045,0.07199701284782759
accepted_beta_recoil,case_I_forward,0.6275000000000001,0.48661488584961854,0.06675748261462618,0.07313976789022489
accepted_beta_recoil,case_I_forward,0.63,0.4867189063099793,0.06779953109924783,0.07429731907802142
accepted_beta_recoil,case_I_forward,0.6325000000000001,0.4868226909960478,0.06885478512092141,0.07546979603576424
accepted_beta_recoil,case_I_forward,0.635,0.4869262423453454,0.06992335568670732,0.0766573284214615
accepted_beta_recoil,case_I_forward,0.6375000000000001,0.4870295627703878,0.07100535373963701,0.07786004590388992
accepted_beta_recoil,case_I_forward,0.64,0.48713265465909805,0.07210089013784378,0.07907807813954397
accepted_beta_recoil,case_I_forward,0.6425,0.48723552037521206,0.0732100756333899,0.08031155474922938
accepted_beta_recoil,case_I_forward,0.645,0.48733816225867604,0.07433302085078967,0.08156060529429934
accepted_beta_recoil,case_I_forward,0.6475,0.4874405826260358,0.0754698362652306,0.08282535925253624
accepted_beta_recoil,case_I_forward,0.65,0.4875427837708206,0.07662063218049353,0.08410594599367903
accepted_beta_recoil,case_I_forward,0.6525,0.4876447679639182,0.07778551870657224,0.08540249475459664
accepted_beta_recoil,case_I_forward,0.655,0.4877465374539443,0.0789646057369961,0.08671513461411114
accepted_beta_recoil,case_I_forward,0.6575,0.4878480944676045,0.08015800292585414,0.08804399446746827
accepted_beta_recoil,case_I_forward,0.66,0.4879494412100497,0.08136581966452533,0.0893892030004604
accepted_beta_recoil,case_I_forward,0.6625,0.4880505798652256,0.08258816505811492,0.09075088866320145
accepted_beta_recoil,case_I_forward,0.665,0.4881515125962154,0.08382514790159946,0.09212917964355657
accepted_beta_recoil,case_I_forward,0.6675,0.4882522415455765,0.08507687665568198,0.09352420384022711
accepted_beta_recoil,case_I_forward,0.67,0.48835276883567147,0.08634345942236049,0.09493608883549517
accepted_beta_recoil,case_I_forward,0.6725,0.48845309656899266,0.08762500392021064,0.09636496186762718
accepted_beta_recoil,case_I_forward,0.675,0.4885532268284818,0.08892161745938638,0.09781094980294142
accepted_beta_recoil,case_I_forward,0.6775,0.48865316167784295,0.09023340691633992,0.09927417910753987
accepted_beta_recoil,case_I_forward,0.68,0.4887529031618509,0.0915604787082647,0.1007547758187085
accepted_beta_recoil,case_I_forward,0.6825,0.4888524533066544,0.09290293876726276,0.10225286551598751
accepted_beta_recoil,case_I_forward,0.685,0.4889518141200725,0.09426089251424119,0.10376857329191545
accepted_beta_recoil,case_I_forward,0.6875,0.48905098759188814,0.09563444483253865,0.10530202372244922
accepted_beta_recoil,case_I_forward,0.6900000000000001,0.4891499756941348,0.09702370004128708,0.10685334083706434
accepted_beta_recoil,case_I_forward,0.6925,0.48924878038137926,0.09842876186851013,0.1084226480885374
accepted_beta_recoil,case_I_forward,0.6950000000000001,0.4893474035909993,0.09984973342396358,0.11001006832241601
accepted_beta_recoil,case_I_forward,0.6975,0.48944584724345674,0.10128671717171844,0.11161572374617684
accepted_beta_recoil,case_I_forward,0.7000000000000001,0.48954411324256564,0.10273981490249434,0.11323973589807977
